주소,병원분류명,병원경도,병원위도,행정구역,geometry
서울특별시 송파구 올림픽로 269 2층 221호 (신천동 롯데캐슬골드),의원,127.1006199010504,37.51439275045279,송파구,POINT (964705.4657191113 1946198.0026357993)
서울특별시 송파구 마천로 281 1층 (마천동),의원,127.14801054282786,37.49714548385195,송파구,POINT (968886.3903258394 1944267.8111013903)
서울특별시 송파구 백제고분로 386 2층 (송파동),의원,127.108956819714,37.5058889682158,송파구,POINT (965438.3089283478 1945251.4684128265)
서울특별시 송파구 마천로5길 6 가송빌딩 4~6층 (오금동),의원,127.12683823750504,37.50889038723622,송파구,POINT (967020.0542900859 1945578.038871042)
서울특별시 송파구 올림픽로 435 (신천동 파크리오B상가 411호),의원,127.11308435499258,37.52026333615219,송파구,POINT (965809.6735589589 1946844.7038770285)
서울특별시 송파구 오금로32길 35 (송파동),의원,127.11899351289809,37.50325105287633,송파구,POINT (966324.2036963127 1944955.17032289)
서울특별시 송파구 송파대로 345 1A동 5층 5012호 (가락동 헬리오시티),의원,127.11166381524856,37.49942352951747,송파구,POINT (965674.6033022486 1944533.1801738553)
서울특별시 송파구 올림픽로 100 6층 (잠실동 효창타워),의원,127.0816902803217,37.5114170101962,송파구,POINT (963031.1174682826 1945875.1325136386)
서울특별시 송파구 석촌호수로 61 트리지움상가 3층 (잠실동),의원,127.0862137284,37.5107001999,송파구,POINT (963430.5375237353 1945793.839336467)
서울특별시 송파구 올림픽로12길 5 정호빌딩 4층5층 (잠실동),의원,127.08309241619264,37.51106644256334,송파구,POINT (963154.8620202865 1945835.689293686)
서울특별시 송파구 송파대로28길 27 102동 215216호 (가락동 송파성원쌍떼빌),의원,127.12084060126988,37.495179201208025,송파구,POINT (966483.854228654 1944058.9934147168)
서울특별시 송파구 중대로 80 (문정동 LG문정프라자 3층),의원,127.11815765971431,37.49185178661654,송파구,POINT (966245.1947415652 1943690.798213005)
